title,type,release_year,age_certification,runtime,imdb_votes
Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,
Taxi Driver,MOVIE,1976,R,113,795222
Monty Python and the Holy Grail,MOVIE,1975,PG,91,530877
Life of Brian,MOVIE,1979,R,94,392419
The Exorcist,MOVIE,1973,R,133,391942
Monty Python's Flying Circus,SHOW,1969,TV-14,30,72895
Dirty Harry,MOVIE,1971,R,102,153463
My Fair Lady,MOVIE,1964,G,170,94121
The Blue Lagoon,MOVIE,1980,R,104,69053
Bonnie and Clyde,MOVIE,1967,R,110,111189
The Professionals,MOVIE,1966,PG-13,117,16168
The Guns of Navarone,MOVIE,1961,,158,50150
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,30277
Richard Pryor: Live in Concert,MOVIE,1979,R,78,5141
The Long Riders,MOVIE,1980,R,99,11329
White Christmas,MOVIE,1954,,115,42373
Cairo Station,MOVIE,1958,,77,4385
The Queen,MOVIE,1968,,68,1117
Hitler: A Career,MOVIE,1977,PG,150,2416
FTA,MOVIE,1972,R,97,411
Saladin the Victorious,MOVIE,1963,,186,2470
Singapore,MOVIE,1960,,158,82
Dark Waters,MOVIE,1956,,120,590
Alexandria… Why?,MOVIE,1979,,133,1689
Raya and Sakina,MOVIE,1953,,105,231
No Longer Kids,MOVIE,1979,,235,943
Amrapali,MOVIE,1966,,120,225
Dostana,MOVIE,1980,,161,25
The Blazing Sun,MOVIE,1954,,100,1219
Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,2144
The Return of the Prodigal Son,MOVIE,1976,,124,768
Prince,MOVIE,1969,,152,168
Lock Your Girls In,MOVIE,1980,,230,
The Witness Who Didn't See Anything,MOVIE,1976,,217,
The School of Mischief,MOVIE,1973,,251,
Manoranjan,MOVIE,1974,,162,236
"Beirut, Oh Beirut",MOVIE,1975,,110,106
We Are All for the Fatherland,MOVIE,1979,,74,43
Whispers,MOVIE,1980,,93,75
Lal Patthar,MOVIE,1971,,153,137
Ujala,MOVIE,1959,,142,78
Alibaba Aur 40 Chor,MOVIE,1979,,138,555
Professor,MOVIE,1962,,163,285
Chadi Jawani Budhe Nu,MOVIE,1976,,135,14
Bandie,MOVIE,1978,,141,35
